-1.72,-0.01000002,-0.7393538
-1.72,-0.01000017,-4.350234
-1.72,-0.01000011,-4.568153
-1.720001,-0.1425704,-5.348538
-1.558168,-8.101971,-6.497713
-1.558168,-27.39468,-6.497713
-1.558168,-58.3525,-6.497713
-1.558168,-111.2355,-6.497713
-1.558168,-166.8762,-6.497713
-1.558168,-233.2555,-6.497713
-1.72,-0.01000017,0
-0.3533903,-0.01000005,-2.507737
-0.3533906,-2.139516,-5.972306
-0.3533906,-14.40703,-5.975273
0,-0.01000017,0
-9.139161E-08,-0.01000005,-1.045398
-0.2320855,-0.4414027,-5.609375
0.09529641,-9.351168,-5.60882
0.09529641,-28.82371,-5.60882
-3.842267E-08,-0.01000005,-0.4395041
-1.108134,-0.01000005,-2.062679
-0.9715881,-0.01000011,-3.152638
-0.9715881,-0.01000023,-3.150795
